Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
40,2766578401,mrvinyl7,0,113.75,P Lance McCullers Jr. P Matt Manning SS Trea Turner 2B Jose Altuve 1B José Abreu C J.T. Realmuto 3B Yoán Moncada OF Teoscar Hernández OF Akil Baddoo OF Brad Miller,,Andrew Vaughn,OF,7.62%,10
41,2766368423,dubcity3,0,113.35,P Lance McCullers Jr. P Erick Fedde SS Tim Anderson 1B José Abreu 3B Yoán Moncada OF Kyle Tucker 2B Kiké Hernández OF Michael Brantley C Zack Collins OF Hunter Renfroe,,Jordan Lyles,P,7.45%,13.55
42,2766351459,Bruins229,0,112.7,P Lance McCullers Jr. P Dylan Cease 3B Rafael Devers C J.T. Realmuto OF J.D. Martinez SS Didi Gregorius 2B Kiké Hernández OF Andrew McCutchen OF Hunter Renfroe 1B Danny Santana,,Gerardo Parra,OF,7.45%,0
42,2766575082,tboz525,0,112.7,P Lance McCullers Jr. P Dylan Cease SS Tim Anderson 1B José Abreu 3B Yoán Moncada 2B Kiké Hernández C John Hicks OF Akil Baddoo OF Adam Engel OF Andrew Vaughn,,Matt Manning,P,7.45%,19.9
44,2766502908,tonybalony,0,111.65,P Lance McCullers Jr. 1B Vladimir Guerrero Jr. SS Chris Taylor OF Yordan Alvarez 2B Jose Altuve 3B DJ LeMahieu OF Kyle Tucker OF Michael Brantley C Tres Barrera P Asher Wojciechowski,,Rhys Hoskins,1B,7.45%,6
45,2766591829,dainb32,0,111.4,P Adam Wainwright P Dylan Cease SS Tim Anderson 1B José Abreu OF Giancarlo Stanton 3B Yoán Moncada C Gary Sánchez OF Kyle Tucker 2B Michael Chavis OF Estevan Florial,,Xander Bogaerts,SS,7.27%,0
46,2766500020,e4e5nf3nc6,0,110.85,P Julio Urías P Erick Fedde OF Bryce Harper SS Tim Anderson 1B José Abreu C J.T. Realmuto 2B Jean Segura OF Andrew McCutchen OF Andrew Vaughn 3B Jake Burger,,Brock Holt,3B,7.27%,0
47,2766478055,maxthesped,0,110.75,P Lance McCullers Jr. P Matt Manning OF Juan Soto C Will Smith 2B Jose Altuve SS Xander Bogaerts 3B Yoán Moncada OF J.D. Martinez OF Hunter Renfroe 1B Danny Santana,,Alcides Escobar,2B,7.27%,5
47,2766543277,Ichabod1985,0,110.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer OF Teoscar Hernández OF Max Kepler C Zack Collins 3B Joe Panik,,Zack Collins,C,6.91%,0
49,2766368809,TwineTickler,0,110.4,P Lance McCullers Jr. P Adam Wainwright OF Bryce Harper C Gary Sánchez OF Teoscar Hernández 1B Josh Bell SS Gleyber Torres 2B Jean Segura OF Andrew McCutchen 3B Josh Harrison,,Yuli Gurriel,1B,6.56%,5
